chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2106583,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106585,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106586,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106589,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106590,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106591,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106592,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106593,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2106594,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106595,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106596,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2106598,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2106600,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106601,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106602,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2106603,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106604,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106605,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2106606,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106607,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2106608,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2106609,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2106611,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
